tau_true_ms,simulated_peak_hz,tau_fit_ms,error_ms
12.0000,13.0000,12.0000,0.0000
12.7500,12.5000,12.5000,-0.2500
13.5000,12.0000,13.0000,-0.5000
14.2500,11.5000,14.0000,-0.2500
15.0000,11.0000,14.5000,-0.5000
15.7500,10.5000,16.0000,0.2500
16.5000,10.0000,16.5000,0.0000
17.2500,9.5000,17.5000,0.2500
18.0000,9.5000,17.5000,-0.5000
18.7500,9.0000,18.5000,-0.2500
19.5000,9.0000,18.5000,-1.0000
20.2500,8.5000,21.0000,0.7500
21.0000,8.5000,21.0000,0.0000
21.7500,8.0000,21.5000,-0.2500
22.5000,8.0000,21.5000,-1.0000
23.2500,7.5000,23.0000,-0.2500
24.0000,7.5000,23.0000,-1.0000
24.7500,7.0000,26.5000,1.7500
25.5000,7.0000,26.5000,1.0000
26.2500,7.0000,26.5000,0.2500
27.0000,6.5000,27.0000,0.0000
27.7500,6.5000,27.0000,-0.7500
